Protein	RNA
3ms1_Y	3ms1_A
3ms1_O	3ms1_A
3ms1_R	3ms1_A
3fin_D	3fin_A
3ms1_S	3ms1_A
3mrz_3	3mrz_A
3ms1_5	3ms1_A
3fin_2	3fin_A
3fin_I	3fin_A
3fin_Y	3fin_A
3ms1_J	3ms1_A
3mrz_I	3mrz_A
3fin_9	3fin_A
3fin_C	3fin_A
3fin_8	3fin_A
3ms1_V	3ms1_A
3fin_T	3fin_A
3ms1_4	3ms1_A
3fin_1	3fin_A
3fin_6	3fin_A
3mrz_K	3mrz_A
3i8g_N	3i8g_1
3i8g_F	3i8g_1
3i8g_O	3i8g_1
3i8g_J	3i8g_1
3i8g_H	3i8g_1
3i8g_G	3i8g_1
3kfu_H	3kfu_N
3kfu_B	3kfu_N
3kfu_F	3kfu_L
3kfu_G	3kfu_L
1qzw_A	1qzw_B
2dlc_X	2dlc_Y
1s03_G	1s03_B
3bbn_E	3bbn_A
3bbn_T	3bbn_A
3bbn_I	3bbn_A
3bbn_J	3bbn_A
3bbn_U	3bbn_A
3bbn_F	3bbn_A
3bbn_M	3bbn_A
3bbn_Q	3bbn_A
3bbn_K	3bbn_A
3bbn_L	3bbn_A
3bbn_G	3bbn_A
3bbn_R	3bbn_A
3bbn_O	3bbn_A
3bbn_P	3bbn_A
3bbn_S	3bbn_A
3bbn_N	3bbn_A
3bbn_C	3bbn_A
3bbn_H	3bbn_A
3bbn_B	3bbn_A
3bbn_D	3bbn_A
2zkr_l	2zkr_W
1zdh_A	1zdh_R
1p6v_C	1p6v_B
1sds_C	1sds_D
2om7_L	2om7_B
2gje_D	2gje_R
2gje_A	2gje_R
2iz8_A	2iz8_R
2wyy_J	2wyy_S
3i1s_I	3i1s_V
2fk6_A	2fk6_R
1q2r_C	1q2r_F
2om7_L	2om7_D
3deg_H	3deg_G
3deg_C	3deg_G
1a9n_D	1a9n_R
1a9n_A	1a9n_Q
2iy3_A	2iy3_B
2uua_M	2uua_Y
2uua_L	2uua_Y
2pxv_A	2pxv_B
1ml5_P	1ml5_a
1ml5_Z	1ml5_a
2hgj_D	2hgj_A
2x9s_R	2x9s_A
2wrr_U	2wrr_A
2hgu_2	2hgu_A
2x9u_F	2x9u_A
2hgq_H	2hgq_A
2wrr_G	2wrr_A
2x9s_5	2x9s_A
2b66_K	2b66_A
2wrr_X	2wrr_A
2hgu_Z	2hgu_A
2x9s_E	2x9s_A
2wro_P	2wro_A
1giy_L	1giy_A
2wrr_Q	2wrr_A
2wrj_2	2wrj_A
2wro_S	2wro_A
1yl3_2	1yl3_A
1yl3_J	1yl3_A
2hgq_D	2hgq_A
2wro_0	2wro_A
2x9u_0	2x9u_A
2wrr_W	2wrr_A
2wrl_6	2wrl_A
2b66_Z	2b66_A
2hgj_K	2hgj_A
2wrr_Y	2wrr_A
2hgq_M	2hgq_A
2x9u_9	2x9u_A
2hgj_C	2hgj_A
2b9p_G	2b9p_A
1giy_E	1giy_A
2x9u_8	2x9u_A
1yl3_P	1yl3_A
2b9n_X	2b9n_A
1giy_Q	1giy_A
2b9n_F	2b9n_A
1giy_O	1giy_A
2b66_N	2b66_A
1ml5_u	1ml5_a
1yl3_W	1yl3_A
1yl3_R	1yl3_A
1yl3_7	1yl3_A
2b9n_4	2b9n_A
2hgu_Y	2hgu_A
2b9n_D	2b9n_A
2x9u_T	2x9u_A
2hgu_6	2hgu_A
1yl3_6	1yl3_A
2wro_1	2wro_A
2x9u_O	2x9u_A
1ml5_R	1ml5_a
3i9e_0	3i9e_A
3i9e_1	3i9e_A
3i9e_X	3i9e_A
3i9e_F	3i9e_A
3i9e_H	3i9e_A
3i9e_G	3i9e_A
3i9e_5	3i9e_A
3i9e_T	3i9e_A
3i9e_3	3i9e_A
3i9e_E	3i9e_A
3i9e_O	3i9e_A
3i9e_P	3i9e_A
3i9e_W	3i9e_A
3i9e_Q	3i9e_A
3i9e_2	3i9e_A
3i9e_D	3i9e_A
3i9e_S	3i9e_A
3i9e_6	3i9e_A
3i9e_K	3i9e_A
3i9e_U	3i9e_A
3i9e_M	3i9e_A
3i9e_8	3i9e_A
3i9e_V	3i9e_A
3i9e_R	3i9e_A
3i9e_7	3i9e_A
3i9e_Z	3i9e_A
3i9e_N	3i9e_A
1urn_A	1urn_P
2bh2_A	2bh2_C
2v47_R	2v47_A
2j01_U	2j01_A
2j03_3	2j03_A
2j03_H	2j03_A
2v47_H	2v47_A
2j03_F	2j03_A
2j01_H	2j01_A
2v47_G	2v47_A
2v49_5	2v49_A
2j01_X	2j01_A
2j03_0	2j03_A
2j03_E	2j03_A
2j01_P	2j01_A
2j01_Q	2j01_A
2j01_2	2j01_A
2j01_S	2j01_A
2v47_V	2v47_A
2j01_D	2j01_A
2v49_W	2v49_A
2j01_6	2j01_A
2v49_I	2v49_A
2v47_Y	2v47_A
2j03_N	2j03_A
2v49_C	2v49_A
2j03_8	2j03_A
2v49_Z	2v49_A
2v47_T	2v47_A
2j01_7	2j01_A
2v47_1	2v47_A
2j01_O	2j01_A
3htx_D	3htx_E
1yhq_P	1yhq_0
1yij_P	1yij_0
1yjw_T	1yjw_0
1yjw_X	1yjw_0
1yj9_V	1yj9_0
1yjw_F	1yjw_0
1yit_D	1yit_0
1yij_B	1yij_0
1yhq_R	1yhq_0
1yjn_A	1yjn_0
1yjw_H	1yjw_0
1yj9_S	1yj9_0
1yjn_N	1yjn_0
1yjn_C	1yjn_0
1yij_M	1yij_0
1yjw_L	1yjw_0
1yij_J	1yij_0
1yj9_T	1yj9_0
1yij_V	1yij_0
1yjw_E	1yjw_0
1yjn_U	1yjn_0
1yi2_Z	1yi2_0
1yi2_1	1yi2_0
1yhq_W	1yhq_0
1yij_2	1yij_0
1yjn_Q	1yjn_0
1yjn_G	1yjn_0
1yj9_P	1yj9_0
1yj9_O	1yj9_0
1yit_X	1yit_0
1yjn_3	1yjn_0
1yit_Y	1yit_0
1yit_I	1yit_0
1yhq_K	1yhq_0
2hw8_A	2hw8_B
3ciy_A	3ciy_D
3ktv_B	3ktv_A
2d6f_D	2d6f_F
1un6_B	1un6_F
2rfk_B	2rfk_D
3hjy_A	3hjy_C
2c50_A	2c50_R
1h3e_A	1h3e_B
1f6u_A	1f6u_B
2j0q_I	2j0q_H
2j0q_B	2j0q_H
1aud_A	1aud_B
1jid_A	1jid_B
2v48_M	2v48_X
2v48_L	2v48_X
2v46_G	2v46_X
2otj_N	2otj_9
3cc4_Q	3cc4_9
3cc7_D	3cc7_9
1q82_J	1q82_B
1qvf_M	1qvf_9
1vq8_W	1vq8_9
3cce_Q	3cce_9
1kog_D	1kog_K
1zbh_D	1zbh_F
1q2s_A	1q2s_E
3i9d_P	3i9d_A
3i9d_N	3i9d_A
3i9d_M	3i9d_A
3i9b_I	3i9b_A
3i9b_L	3i9b_A
3i9b_F	3i9b_A
3i9d_O	3i9d_A
3i9d_J	3i9d_A
3i9b_W	3i9b_A
3i9d_Q	3i9d_A
3i9b_T	3i9b_A
3i9b_X	3i9b_A
3i9b_U	3i9b_A
3i9d_V	3i9d_A
3i9d_S	3i9d_A
3i9b_K	3i9b_A
3i9b_E	3i9b_A
3i9b_R	3i9b_A
3i9b_H	3i9b_A
3i9d_G	3i9d_A
2i82_D	2i82_H
2nuf_A	2nuf_C
2b3j_C	2b3j_G
2xlj_A	2xlj_B
2zkr_m	2zkr_B
2zkr_f	2zkr_B
3eq3_X	3eq3_D
3f1f_R	3f1f_A
3d5d_U	3d5d_A
3d5d_3	3d5d_A
3f1h_F	3f1h_A
3f1h_H	3f1h_A
3f1h_G	3f1h_A
3f1f_5	3f1f_A
3f1h_X	3f1h_A
3f1f_0	3f1f_A
3d5d_E	3d5d_A
3d5b_P	3d5b_A
3f1h_K	3f1h_A
3f1f_Q	3f1f_A
3d5d_2	3d5d_A
3d5d_S	3d5d_A
3d5b_S	3d5b_A
3d5b_V	3d5b_A
3f1h_D	3f1h_A
3d5d_X	3d5d_A
3d5d_W	3d5d_A
3d5d_6	3d5d_A
3f1h_6	3f1h_A
3d5b_I	3d5b_A
3d5b_Y	3d5b_A
3d5b_J	3d5b_A
3f1f_8	3f1f_A
3d5b_Z	3d5b_A
3d5b_T	3d5b_A
3d5b_7	3d5b_A
3d5d_1	3d5d_A
3d5b_N	3d5b_A
3d5d_O	3d5d_A
2b2d_C	2b2d_R
3kc4_M	3kc4_A
2vhp_K	2vhp_A
3kc4_D	3kc4_A
1p87_J	1p87_A
2qou_I	2qou_A
2vho_C	2vho_A
2i2u_F	2i2u_A
2avy_L	2avy_A
2z4k_L	2z4k_A
3kc4_S	3kc4_A
2qal_Q	2qal_A
2z4m_S	2z4m_A
2z4k_Q	2z4k_A
1p87_N	1p87_A
2qbd_T	2qbd_A
3kc4_P	3kc4_A
2qbj_R	2qbj_A
2i2p_G	2i2p_A
2avy_F	2avy_A
2i2p_U	2i2p_A
2qbd_H	2qbd_A
2qb9_B	2qb9_A
2qbf_O	2qbf_A
2aw7_E	2aw7_A
2aw7_D	2aw7_A
2gy9_M	2gy9_A
2gyb_K	2gyb_A
2gy9_J	2gy9_A
2gyb_F	2gyb_A
2gyb_I	2gyb_A
2gyb_G	2gyb_A
2gy9_L	2gy9_A
2gyb_L	2gyb_A
2gy9_S	2gy9_A
2gy9_Q	2gy9_A
2gy9_T	2gy9_A
2gyb_P	2gyb_A
2gyb_C	2gyb_A
2gyb_N	2gyb_A
2gyb_R	2gyb_A
2gyb_H	2gyb_A
2gy9_B	2gy9_A
2gy9_O	2gy9_A
2gy9_E	2gy9_A
2gyb_D	2gyb_A
2zkr_n	2zkr_H
2zkr_q	2zkr_H
1mms_B	1mms_D
2der_B	2der_D
3iab_A	3iab_R
3iab_B	3iab_R
2xli_A	2xli_B
2f4v_M	2f4v_A
2f4v_K	2f4v_A
2f4v_J	2f4v_A
2f4v_F	2f4v_A
2f4v_I	2f4v_A
2f4v_C	2f4v_A
2f4v_L	2f4v_A
2f4v_G	2f4v_A
2f4v_T	2f4v_A
2f4v_N	2f4v_A
2f4v_Q	2f4v_A
2f4v_R	2f4v_A
2f4v_S	2f4v_A
2f4v_P	2f4v_A
2f4v_H	2f4v_A
2f4v_B	2f4v_A
2f4v_O	2f4v_A
2f4v_E	2f4v_A
2f4v_D	2f4v_A
1q86_E	1q86_A
1qvf_L	1qvf_0
1vq8_M	1vq8_0
2otj_N	2otj_0
1vql_E	1vql_0
1m90_M	1m90_A
1vq4_R	1vq4_0
1vqk_P	1vqk_0
1ffk_G	1ffk_0
3cpw_I	3cpw_0
1w2b_5	1w2b_0
1q86_L	1q86_A
1vqn_O	1vqn_0
1q86_4	1q86_A
2otj_3	2otj_0
2otj_X	2otj_0
3cxc_2	3cxc_0
1vq4_Z	1vq4_0
1qvg_Y	1qvg_0
1q86_H	1q86_A
1vqm_D	1vqm_0
1vqn_B	1vqn_0
1ffk_O	1ffk_0
1vqm_A	1vqm_0
1kd1_J	1kd1_A
1s72_S	1s72_0
1vq7_N	1vq7_0
1k73_E	1k73_A
1k73_N	1k73_A
1n8r_M	1n8r_A
1vqn_J	1vqn_0
1vqn_T	1vqn_0
1vq7_V	1vq7_0
2qa4_E	2qa4_0
1qvf_T	1qvf_0
1vqk_Z	1vqk_0
2otj_1	2otj_0
1vqm_W	1vqm_0
2qa4_2	2qa4_0
1jj2_P	1jj2_0
3cxc_G	3cxc_0
1vq7_P	1vq7_0
1s72_O	1s72_0
1vq4_X	1vq4_0
1kd1_4	1kd1_A
1q81_Z	1q81_A
1ffk_V	1ffk_0
1vq8_I	1vq8_0
1vqo_K	1vqo_0
1zdi_A	1zdi_R
3epl_B	3epl_E
2jea_B	2jea_C
2jea_A	2jea_C
3i8g_P	3i8g_A
3i8g_N	3i8g_A
3i8g_M	3i8g_A
3i8g_I	3i8g_A
3i8g_L	3i8g_A
3i8g_F	3i8g_A
3i8g_O	3i8g_A
3i8g_J	3i8g_A
3i8g_W	3i8g_A
3i8g_Q	3i8g_A
3i8g_T	3i8g_A
3i8g_X	3i8g_A
3i8g_U	3i8g_A
3i8g_V	3i8g_A
3i8g_S	3i8g_A
3i8g_K	3i8g_A
3i8g_E	3i8g_A
3i8g_R	3i8g_A
3i8g_H	3i8g_A
3i8g_G	3i8g_A
1u1y_B	1u1y_S
2csx_A	2csx_D
1ry1_D	1ry1_M
1ry1_C	1ry1_M
1feu_A	1feu_C
5msf_C	5msf_S
3foz_B	3foz_C
3bo1_A	3bo1_D
1jbr_A	1jbr_C
2fy1_A	2fy1_B
2c4z_A	2c4z_R
1qf6_A	1qf6_B
2ake_A	2ake_B
3ftf_A	3ftf_D
2xg1_G	2xg1_X
2b9m_Y	2b9m_X
2b9m_C	2b9m_X
2b9m_L	2b9m_X
2b9m_E	2b9m_X
2b9m_D	2b9m_X
2xlk_B	2xlk_D
2hgi_N	2hgi_D
2hgi_J	2hgi_D
2iy5_B	2iy5_T
1eiy_A	1eiy_C
3hl2_B	3hl2_E
1t4l_B	1t4l_A
2wwl_M	2wwl_V
2wwq_F	2wwq_V
2wwl_I	2wwl_V
2wwq_M	2wwq_V
3cz3_D	3cz3_F
3e1a_C	3e1a_M
3e1a_O	3e1a_M
3e1a_D	3e1a_M
3e1a_U	3e1a_M
3e1a_Q	3e1a_M
3e1a_S	3e1a_M
3e1a_R	3e1a_M
2ww9_A	2ww9_G
2ww9_J	2ww9_G
2gyc_X	2gyc_9
2gya_D	2gya_9
2gyc_U	2gyc_9
2gya_K	2gya_9
2gyc_M	2gyc_9
2gya_T	2gya_9
2ob7_B	2ob7_A
1aq3_C	1aq3_R
2izm_C	2izm_S
2c51_C	2c51_S
1j2b_B	1j2b_C
2zh9_A	2zh9_B
2ftc_J	2ftc_R
2ftc_A	2ftc_R
2ftc_H	2ftc_R
2ftc_B	2ftc_R
2ftc_C	2ftc_R
2ftc_G	2ftc_R
2ftc_L	2ftc_R
2ftc_K	2ftc_R
2ftc_F	2ftc_R
2ftc_M	2ftc_R
2ftc_I	2ftc_R
2ftc_N	2ftc_R
2ftc_Q	2ftc_R
2ftc_D	2ftc_R
2ftc_O	2ftc_R
2ftc_P	2ftc_R
3boy_C	3boy_D
5msf_A	5msf_R
2r1g_H	2r1g_B
3i8f_0	3i8f_A
3i8i_1	3i8i_A
3i8f_X	3i8f_A
3i8i_V	3i8i_A
3i8i_F	3i8i_A
3i8i_H	3i8i_A
3i8f_G	3i8f_A
3i8f_5	3i8f_A
3i8i_T	3i8i_A
3i8f_3	3i8f_A
3i8i_E	3i8i_A
3i8f_O	3i8f_A
3i8i_L	3i8i_A
3i8i_0	3i8i_A
3i8f_P	3i8f_A
3i8f_W	3i8f_A
3i8f_Q	3i8f_A
3i8i_2	3i8i_A
3i8i_D	3i8i_A
3i8i_S	3i8i_A
3i8i_6	3i8i_A
3i8i_K	3i8i_A
3i8i_U	3i8i_A
3i8i_M	3i8i_A
3i8i_Y	3i8i_A
3i8f_8	3i8f_A
3i8f_V	3i8f_A
3i8f_R	3i8f_A
3i8f_7	3i8f_A
3i8f_Z	3i8f_A
3i8f_N	3i8f_A
2zkr_l	2zkr_V
2b3j_C	2b3j_H
2az2_B	2az2_D
3iwn_D	3iwn_B
2dra_A	2dra_B
2uuc_M	2uuc_Y
2uuc_L	2uuc_Y
2f8k_A	2f8k_B
1k8w_A	1k8w_B
3i21_I	3i21_V
3i20_Z	3i20_B
3i1n_F	3i1n_B
3i20_W	3i20_B
3i1r_M	3i1r_B
3i1r_O	3i1r_B
3i1r_W	3i1r_B
3i1r_V	3i1r_B
2zkr_l	2zkr_F
2zkr_o	2zkr_F
2zkr_c	2zkr_F
2uxb_M	2uxb_Y
2uxb_L	2uxb_Y
2izm_C	2izm_R
1u6p_A	1u6p_B
1vow_T	1vow_B
1voy_O	1voy_B
1voy_R	1voy_B
1voy_Z	1voy_B
1vow_H	1vow_B
1vou_F	1vou_B
1voy_H	1voy_B
1vp0_G	1vp0_B
1vow_2	1vow_B
1vow_V	1vow_B
1vou_U	1vou_B
1vor_X	1vor_B
1vor_E	1vor_B
1vp0_M	1vp0_B
1vp0_J	1vp0_B
1vor_N	1vor_B
1vow_Y	1vow_B
1voy_P	1voy_B
1vow_S	1vow_B
1vow_D	1vow_B
1vou_3	1vou_B
1vow_K	1vow_B
1voy_6	1voy_B
1vor_I	1vor_B
1voy_7	1voy_B
1vou_5	1vou_B
1vow_4	1vow_B
1vp0_W	1vp0_B
1vor_Q	1vor_B
1vor_1	1vor_B
1vp0_L	1vp0_B
1exd_A	1exd_B
3knl_M	3knl_A
3knl_K	3knl_A
3knl_J	3knl_A
3knn_F	3knn_A
3knn_I	3knn_A
3knl_C	3knl_A
3knn_L	3knn_A
3knn_G	3knn_A
3knn_T	3knn_A
3knl_N	3knl_A
3knn_Q	3knn_A
3knl_U	3knl_A
3knn_R	3knn_A
3knl_S	3knl_A
3knl_P	3knl_A
3knn_H	3knn_A
3knl_B	3knl_A
3knn_O	3knn_A
3knl_E	3knl_A
3knl_D	3knl_A
2gjw_C	2gjw_I
1vor_Z	1vor_A
1vor_G	1vor_A
1voy_X	1voy_A
1voy_N	1voy_A
1vou_P	1vou_A
1vor_W	1vor_A
3cc2_G	3cc2_0
3cc2_B	3cc2_0
3ccq_E	3ccq_0
3ccv_J	3ccv_0
3g6e_F	3g6e_0
3cc2_O	3cc2_0
3cma_Z	3cma_0
3cc4_Q	3cc4_0
3ccm_Z	3ccm_0
3g4s_Z	3g4s_0
3g71_F	3g71_0
3i56_D	3i56_0
3ccu_B	3ccu_0
3cme_R	3cme_0
3i56_A	3i56_0
3g6e_H	3g6e_0
3ccm_S	3ccm_0
3cce_N	3cce_0
3cd6_C	3cd6_0
3g4s_M	3g4s_0
3cc4_L	3cc4_0
3g71_J	3g71_0
3ccq_T	3ccq_0
3g6e_V	3g6e_0
3cme_E	3cme_0
3ccq_U	3ccq_0
3ccl_1	3ccl_0
3ccu_W	3ccu_0
3ccv_2	3ccv_0
3cce_Q	3cce_0
3cd6_G	3cd6_0
3cd6_P	3cd6_0
3ccl_O	3ccl_0
3cce_X	3cce_0
3ccj_3	3ccj_0
3ccq_Y	3ccq_0
3g4s_I	3g4s_0
3g4s_Y	3g4s_0
3i56_I	3i56_0
3g4s_K	3g4s_0
3g6e_U	3g6e_0
3huw_M	3huw_A
3huy_K	3huy_A
3knh_J	3knh_A
3knh_F	3knh_A
3huw_I	3huw_A
3knj_C	3knj_A
3huy_L	3huy_A
3knj_G	3knj_A
3huy_Q	3huy_A
3knj_Q	3knj_A
3huw_F	3huw_A
3knh_N	3knh_A
3huy_T	3huy_A
3knj_N	3knj_A
3huw_Q	3huw_A
3knj_U	3knj_A
3knj_R	3knj_A
3huy_V	3huy_A
3knh_S	3knh_A
3huw_P	3huw_A
3knh_H	3knh_A
3huw_B	3huw_A
3huy_O	3huy_A
3knh_E	3knh_A
3knh_D	3knh_A
3dkn_A	3dkn_F
3i8h_N	3i8h_1
3i8h_F	3i8h_1
3i8h_O	3i8h_1
3i8h_J	3i8h_1
3i8h_H	3i8h_1
3i8h_G	3i8h_1
2go5_6	2go5_9
2go5_2	2go5_9
3akz_B	3akz_E
3al0_B	3al0_E
3al0_C	3al0_E
2zkr_e	2zkr_E
2bu1_C	2bu1_S
1yl4_N	1yl4_1
1yl4_F	1yl4_1
1yl4_O	1yl4_1
1yl4_J	1yl4_1
1yl4_U	1yl4_1
1yl4_H	1yl4_1
