Protein	RNA
2pxt_A	2pxt_B
2i91_B	2i91_F
2zh7_A	2zh7_B
1ec6_A	1ec6_D
1wz2_B	1wz2_D
2zzm_A	2zzm_B
2c51_C	2c51_R
3g8s_D	3g8s_R
2b3j_B	2b3j_E
1lng_A	1lng_B
3dd2_H	3dd2_B
3dd2_L	3dd2_B
2r8s_L	2r8s_R
2pxq_A	2pxq_B
3kis_y	3kis_x
1zdk_B	1zdk_S
2xb2_S	2xb2_R
2xb2_X	2xb2_R
1q2r_D	1q2r_E
2iz8_C	2iz8_S
1ry1_D	1ry1_E
1ry1_C	1ry1_E
2zh2_A	2zh2_B
2ct8_B	2ct8_D
2zh6_A	2zh6_B
1ry1_D	1ry1_N
1ry1_C	1ry1_N
2c4q_B	2c4q_R
1gtf_L	1gtf_W
2b2e_C	2b2e_S
2r92_B	2r92_P
2r92_A	2r92_P
1e7k_B	1e7k_C
1zdk_A	1zdk_R
1mfq_C	1mfq_A
1ry1_W	1ry1_A
1ry1_B	1ry1_A
1l9a_A	1l9a_B
2j37_W	2j37_A
2i91_A	2i91_D
2czj_G	2czj_H
3deg_C	3deg_J
2zh8_A	2zh8_B
3bo3_A	3bo3_B
3hhz_N	3hhz_R
1zse_A	1zse_R
3dkn_A	3dkn_E
2zni_A	2zni_C
2bq5_C	2bq5_S
3egz_A	3egz_B
2zko_A	2zko_C
2zi0_B	2zi0_D
1ooa_A	1ooa_C
1jbr_B	1jbr_D
3foz_B	3foz_D
2iz9_C	2iz9_S
3cun_A	3cun_C
3cul_A	3cul_C
2j0q_T	2j0q_E
2j0q_A	2j0q_E
3ks8_A	3ks8_E
2dr7_A	2dr7_B
2gic_E	2gic_R
2ipy_A	2ipy_D
3icq_C	3icq_E
3icq_U	3icq_E
2rkj_N	2rkj_O
3moj_B	3moj_A
1hji_B	1hji_A
1qrt_A	1qrt_B
1c9s_F	1c9s_W
2v3c_D	2v3c_M
2v3c_A	2v3c_M
2wh1_Y	2wh1_V
2zxu_A	2zxu_C
2ann_A	2ann_B
1zdh_B	1zdh_S
3hay_A	3hay_E
2zuf_A	2zuf_B
2izn_C	2izn_S
3hjw_A	3hjw_D
2c4y_A	2c4y_R
1ttt_B	1ttt_D
1ml5_Z	1ml5_B
3deg_C	3deg_A
1ttt_A	1ttt_D
1sz1_B	1sz1_F
1zo1_I	1zo1_F
3adc_A	3adc_C
2f8t_A	2f8t_D
2ihx_A	2ihx_B
