,,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC,保留四位小数,,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC
,,,,,,,,,,,random+stack+side,98.04,98.63,97.46,98.62,0.9611,1.38,97.46,99.79
,,,,,,,,,,,random+stack+side,0.18,0.6,0.71,0.61,0.0035,0.61,0.71,0.02
,,,,,,,,,,,random+stack+withoutside,98.18,98.53,97.82,98.53,0.9636,1.47,97.82,99.8
,,,,,,,,,,,random+stack+withoutside,0.22,0.35,0.32,0.36,0.0043,0.36,0.32,0.02
,,,,,,,,,,,random+sum+side,98.1,98.61,97.59,98.61,0.9622,1.39,97.59,99.8
,,,,,,,,,,,random+sum+side,0.3,0.59,0.53,0.6,0.0059,0.6,0.53,0.02
,,,,,,,,,,,random+sum+withoutside,98.05,98.78,97.3,98.8,0.9612,1.2,97.3,99.78
加上方差,,,,,,,,,,,random+sum+withoutside,0.11,0.34,0.29,0.35,0.0021,0.35,0.29,0.02
,ACC(%),Pre(%),Sen(%),Spe(%),MCC,FPR(%),TPR(%),AUC(%),,,,,,,,,,,
one hot+stack+side,91.90±1.35,88.94±1.31,95.86±2.23,87.94±1.51,0.8423±0.0270,12.06±1.51,95.86±2.23,98.21±1.24,,,,,,,,,,,
one hot+stack+withoutside,90.40±1.62,92.39±1.89,88.34±2.77,92.47±1.96,0.8129±0.0317,7.53±1.96,88.34±2.77,97.48±1.20,,,,,,,,,,,
one hot+sum+side,92.70±0.53,90.29±1.35,95.84±1.54,89.57±1.76,0.8570±0.0098,10.43±1.76,95.84±1.54,98.64±0.24,,,,,,,,,,,
one hot+sum+withoutside,91.97±1.51,91.66±2.26,92.66±4.00,91.28±2.83,0.8433±0.0275,8.72±2.83,92.66±4.00,98.36±0.60,,,,,,,,,,,
random+stack+side,98.04±0.18,98.63±0.60,97.46±0.71,98.62±0.61,0.9611±0.0035,1.38±0.61,97.46±0.71,99.79±0.02,,,,,,,,,,,
random+stack+withoutside,98.18±0.22,98.53±0.35,97.82±0.32,98.53±0.36,0.9636±0.0043,1.47±0.36,97.82±0.32,99.80±0.02,,,,,,,,,,,
random+sum+side,98.10±0.30,98.61±0.59,97.59±0.53,98.61±0.60,0.9622±0.0059,1.39±0.60,97.59±0.53,99.80±0.02,,,,,,,,,,,
random+sum+withoutside,98.05±0.11,98.78±0.34,97.30±0.29,98.80±0.35,0.9612±0.0021,1.20±0.35,97.30±0.29,99.78±0.02,,,,,,,,,,,
